NIVEL_DETALLE,SECTOR_NOMBRE,PLIEGO,EJECUTORA,TIPO_ACT_PROY_NOMBRE,GENERICA,FUENTE_FINANCIAMIENTO,RUBRO,RUBRO_NOMBRE,FINALIDAD,PRODUCTO_PROYECTO,PROGRAMA_PPTO,SEC_FUNC,CLASIFICADOR,ANO_EJE,MES_EJE,MES,FECHA,pia,pim,certificado,comp_anual,comprometido,devengado,girado,FECHA_ACTUALIZACION_ARCHIVO
Ranking Sectores,INTERIOR,,,,,,,,,,,,,,,,,13731112057.0,15179885626.0,14846257753.26999,14210350661.649998,10106787068.650043,9885836332.330046,9865263452.000025,2026-09-05 08:35:06
Ranking Sectores,COMERCIO EXTERIOR Y TURISMO,,,,,,,,,,,,,,,,,745267826.0,671621212.0,609896700.8400002,558882044.14,522549690.10999995,381049014.6899998,379603083.46999985,2026-09-05 08:35:06
Ranking Sectores,AMBIENTAL,,,,,,,,,,,,,,,,,985973760.0,1031602420.0,956513848.9399986,901640198.3199993,746354402.6599956,631304479.4099948,629216061.959996,2026-09-05 08:35:06
Ranking Sectores,JUSTICIA,,,,,,,,,,,,,,,,,2360197204.0,2347508132.0,2241167973.090001,2175369414.5699997,1597216882.709998,1455170828.639997,1443548616.57,2026-09-05 08:35:06
Ranking Sectores,PRODUCCION,,,,,,,,,,,,,,,,,755193626.0,798044271.0,737926294.11,704147295.0800002,594562276.359999,520995731.99999845,515795200.099999,2026-09-05 08:35:06
Ranking Sectores,CONGRESO DE LA REPUBLICA,,,,,,,,,,,,,,,,,1768984816.0,1886920455.0,1553254056.8100007,1514207448.1600003,1066567373.9700001,1022941809.0300002,1003782732.3400002,2026-09-05 08:35:06
Ranking Sectores,VIVIENDA CONSTRUCCION Y SANEAMIENTO,,,,,,,,,,,,,,,,,4378158624.0,4386622847.0,3950141565.9700003,3826836320.0500016,3433978893.9800024,3179146360.44,3006934936.879999,2026-09-05 08:35:06
Ranking Sectores,DEFENSORIA DEL PUEBLO,,,,,,,,,,,,,,,,,105251797.0,108616867.0,105581070.99,103944311.89999999,68596360.08,65097203.24000002,65077228.580000006,2026-09-05 08:35:06
Ranking Sectores,TRABAJO Y PROMOCION DEL EMPLEO,,,,,,,,,,,,,,,,,905457828.0,899190547.0,881952606.2099993,694348230.2999997,561206868.3999982,536537383.48999846,535996886.6899985,2026-09-05 08:35:06
Ranking Sectores,MINISTERIO PUBLICO,,,,,,,,,,,,,,,,,2870696959.0,2954679049.0,2905492977.43,2773685417.380001,2106265904.7599878,2008594351.3499894,2000680974.5099916,2026-09-05 08:35:06
Ranking Sectores,PODER JUDICIAL,,,,,,,,,,,,,,,,,4002597555.0,4023440284.0,3895554217.9399996,3786318510.6399984,2533516081.0800095,2430261704.7700086,2419337195.4300056,2026-09-05 08:35:06
Ranking Sectores,AGRARIO Y DE RIEGO,,,,,,,,,,,,,,,,,2585849837.0,3328059139.0,2700100992.1799984,2198561256.250002,1761171538.5999725,1534122304.349978,1512662430.8999789,2026-09-05 08:35:06
