ANO_EJE,NIVEL_GOBIERNO,NIVEL_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA,DISTRITO_EJECUTORA_NOMBRE,PROGRAMA_PPTO,PROGRAMA_PPTO_NOMBRE,TIPO_ACT_PROY,TIPO_ACT_PROY_NOMBRE,PRODUCTO_PROYECTO,PRODUCTO_PROYECTO_NOMBRE,ACTIVIDAD_ACCION_OBRA,ACTIVIDAD_ACCION_OBRA_NOMBRE,DEPARTAMENTO_META,DEPARTAMENTO_META_NOMBRE,RUBRO,RUBRO_NOMBRE,MONTO_PIM,MONTO_DEVENGADO
2021,M,GOBIERNOS LOCALES, , , , ,300308,030506,MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO,03,APURIMAC,05,COTABAMBA,06,CHALLHUAHUACHO,0083,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,2,PROYECTO,2342222,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN LA COMUNIDAD DE LLAQTANI, DISTRITO DE CHALLHUAHUACHO - COTABAMBAS - APURIMAC",4000053,MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE,03,APURIMAC,13,DONACIONES Y TRANSFERENCIAS,1875845.0,185708.66
2021,M,GOBIERNOS LOCALES, , , , ,300738,080707,MUNICIPALIDAD DISTRITAL DE QUIÑOTA,08,CUSCO,07,CHUMBIVILCAS,07,QUINOTA,0083,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,2,PROYECTO,2344820,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL EN LOS ANEXOS DE CHILLAPUJRO, SACHAYOQHUAYCCO,QUELLWAPAMPA,QUINSANIA Y CHALANSILLO DE LA COMUNIDAD CAMPESINA DE PUMALLACTA DEL DISTRITO DE QUIÑOTA, PROVINCIA DE CHUMBIVILCAS - CUSCO",4000053,MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE,08,CUSCO,13,DONACIONES Y TRANSFERENCIAS,6462890.0,0.0
2021,M,GOBIERNOS LOCALES, , , , ,300738,080707,MUNICIPALIDAD DISTRITAL DE QUIÑOTA,08,CUSCO,07,CHUMBIVILCAS,07,QUINOTA,0042,APROVECHAMIENTO DE LOS RECURSOS HIDRICOS PARA USO AGRARIO,2,PROYECTO,2413343,"CREACION Y MEJORAMIENTO DEL SISTEMA DE RIEGO TECNIFICADO EN EL SECTOR DE CHILUYO COMUNIDAD DE QUIÑOTA, DISTRITO DE QUIÑOTA - PROVINCIA DE CHUMBIVILCAS - DEPARTAMENTO DE CUSCO",4000120,MEJORAMIENTO DE LINEA DE CONDUCCION DE SISTEMAS DE RIEGO,08,CUSCO,13,DONACIONES Y TRANSFERENCIAS,48259.0,0.0
2021,E,GOBIERNO NACIONAL,37,VIVIENDA CONSTRUCCION Y SANEAMIENTO,037,"MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",1443,005,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,15,LIMA,01,LIMA,22,MIRAFLORES,0083,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,2,PROYECTO,2332562,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN NUEVA JERUSALEN DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGION DE LORETO",6000016,GESTION Y ADMINISTRACION,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,52000.0,20304.48
2021,E,GOBIERNO NACIONAL,40,DESARROLLO E INCLUSION SOCIAL,040,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,1674,008,PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,15,LIMA,01,LIMA,01,LIMA,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,2,PROYECTO,2514149,CREACION DEL CENTRO DE SERVICIOS - TAMBO EN EL CENTRO POBLADO TAMARATE DEL DISTRITO DE LAGUNAS - PROVINCIA DE ALTO AMAZONAS - DEPARTAMENTO DE LORETO,6000001,EXPEDIENTE TECNICO,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,41739.0,41739.0
2021,E,GOBIERNO NACIONAL,11,SALUD,011,M. DE SALUD,1655,125,PROGRAMA NACIONAL DE INVERSIONES EN SALUD,15,LIMA,01,LIMA,31,SAN ISIDRO,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,2,PROYECTO,2475091,CREACION DE LOS SERVICIOS DE SALUD DEL PRIMER NIVEL DE COMPLEJIDAD EN LA COMUNIDAD NATIVA DE MAYURIAGA MAYURIAGA DEL DISTRITO DE MORONA - PROVINCIA DE DATEM DEL MARAÑON - DEPARTAMENTO DE LORETO,6000016,GESTION Y ADMINISTRACION,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,40000.0,30176.8
2021,E,GOBIERNO NACIONAL,37,VIVIENDA CONSTRUCCION Y SANEAMIENTO,037,"MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",1443,005,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,15,LIMA,01,LIMA,22,MIRAFLORES,0083,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,2,PROYECTO,2400930,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE SAN RAMON, DISTRITO DE NAUTA, PROVINCIA DE LORETO - LORETO",6000002,SUPERVISION Y LIQUIDACION DE OBRAS,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,88680.0,77045.43000000001
2021,E,GOBIERNO NACIONAL,37,VIVIENDA CONSTRUCCION Y SANEAMIENTO,037,"MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",1443,005,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,15,LIMA,01,LIMA,22,MIRAFLORES,0083,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,2,PROYECTO,2400934,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE SUCRE, DISTRITO DE NAUTA, PROVINCIA DE LORETO - LORETO",4000182,CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETA,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,5490307.0,4878172.5600000005
2021,E,GOBIERNO NACIONAL,11,SALUD,011,M. DE SALUD,1655,125,PROGRAMA NACIONAL DE INVERSIONES EN SALUD,15,LIMA,01,LIMA,31,SAN ISIDRO,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,2,PROYECTO,2469195,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL ESTABLECIMIENTO DE SALUD NUEVO ANDOAS, DISTRITO DE ANDOAS - PROVINCIA DE DATEM DEL MARAÑON - DEPARTAMENTO DE LORETO",6000001,EXPEDIENTE TECNICO,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,1727518.0,66000.0
2021,M,GOBIERNOS LOCALES, , , , ,301441,160704,MUNICIPALIDAD DISTRITAL DE MORONA,16,LORETO,07,DATEM DEL MARAÑON,04,MORONA,9002,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,2,PROYECTO,2501482,MEJORAMIENTO DE LA PRESTACION DE SERVICIO DE SALUD DEL PUESTO DE SALUD I-1 DE LA LOCALIDAD DE INCA ROCA DEL DISTRITO DE MORONA - PROVINCIA DE DATEM DEL MARAÑON - DEPARTAMENTO DE LORETO,4000013,MEJORAMIENTO DE PUESTOS DE SALUD,16,LORETO,13,DONACIONES Y TRANSFERENCIAS,158400.0,122910.0
