NIVEL_DETALLE,SECTOR_NOMBRE,PLIEGO,EJECUTORA,TIPO_ACT_PROY_NOMBRE,GENERICA,FUENTE_FINANCIAMIENTO,RUBRO,RUBRO_NOMBRE,PRODUCTO_PROYECTO,PROGRAMA_PPTO,SEC_FUNC,CLASIFICADOR,ANO_EJE,MES_EJE,MES,pim,certificado,comp_anual,comprometido,devengado,FECHA_ACTUALIZACION_ARCHIVO
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,2.5.OTROS GASTOS,2. RECURSOS DIRECTAMENTE RECAUDADOS,09,RECURSOS DIRECTAMENTE RECAUDADOS,,9002. ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,65,2.5.5.1.3.1.A PERSONAS JURIDICAS,2026,0,Sin mes,173051253.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,2.4.DONACIONES Y TRANSFERENCIAS,5. RECURSOS DETERMINADOS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",,9002. ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,61,2.4.1.3.1.1.A OTRAS UNIDADES DEL GOBIERNO NACIONAL,2026,0,Sin mes,167049089.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,2.4.DONACIONES Y TRANSFERENCIAS,5. RECURSOS DETERMINADOS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",,9002. ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,60,2.4.1.3.1.1.A OTRAS UNIDADES DEL GOBIERNO NACIONAL,2026,0,Sin mes,86400000.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,005. MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,ACTIVIDAD,2.4.DONACIONES Y TRANSFERENCIAS,5. RECURSOS DETERMINADOS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",,0046. ACCESO Y USO DE LA ELECTRIFICACION RURAL,86,2.4.2.3.1.4.A OTRAS ENTIDADES PUBLICAS,2026,0,Sin mes,38172568.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,2.4.DONACIONES Y TRANSFERENCIAS,1. RECURSOS ORDINARIOS,00,RECURSOS ORDINARIOS,,0120. REMEDIACION DE PASIVOS AMBIENTALES MINEROS,2,2.4.2.3.1.4.A OTRAS ENTIDADES PUBLICAS,2026,0,Sin mes,34000000.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,005. MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,PROYECTO,2.6.ADQUISICION DE ACTIVOS NO FINANCIEROS,2. RECURSOS DIRECTAMENTE RECAUDADOS,09,RECURSOS DIRECTAMENTE RECAUDADOS,"2282700. INSTALACION DEL SISTEMA DE ELECTRIFICACION RURAL DE LAS CUENCAS DE LOS RIOS CENEPA, COMAINA, NUMPATKAY Y SANTIAGO, DISTRITOS FRONTERIZOS DE EL CENEPA, IMAZA Y RIO SANTIAGO, REGION AMAZONAS",0046. ACCESO Y USO DE LA ELECTRIFICACION RURAL,20,2.6.2.3.3.3.COSTO DE CONSTRUCCION POR CONTRATA,2026,0,Sin mes,27857979.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,005. MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,PROYECTO,2.6.ADQUISICION DE ACTIVOS NO FINANCIEROS,2. RECURSOS DIRECTAMENTE RECAUDADOS,09,RECURSOS DIRECTAMENTE RECAUDADOS,"2565970. AMPLIACION DE LA ELECTRIFICACION RURAL EN EL DISTRITO DE ANDOAS, PROVINCIA DATEM DEL MARAÑON, REGION LORETO",0046. ACCESO Y USO DE LA ELECTRIFICACION RURAL,71,2.6.2.3.3.3.COSTO DE CONSTRUCCION POR CONTRATA,2026,0,Sin mes,23415470.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,2.4.DONACIONES Y TRANSFERENCIAS,1. RECURSOS ORDINARIOS,00,RECURSOS ORDINARIOS,,9002. ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,52,2.4.1.3.1.4.A OTRAS ENTIDADES PUBLICAS,2026,0,Sin mes,23018814.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,005. MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,ACTIVIDAD,2.4.DONACIONES Y TRANSFERENCIAS,3. RECURSOS POR OPERACIONES OFICIALES DE CREDITO,19,RECURSOS POR OPERACIONES OFICIALES DE CREDITO,,9002. ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,96,2.4.2.3.1.4.A OTRAS ENTIDADES PUBLICAS,2026,0,Sin mes,16805997.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
Detalle MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,2.1.PERSONAL Y OBLIGACIONES SOCIALES,2. RECURSOS DIRECTAMENTE RECAUDADOS,09,RECURSOS DIRECTAMENTE RECAUDADOS,,9001. ACCIONES CENTRALES,30,2.1.1.13.1.2.CONTRATO ADMINISTRATIVO DE SERVICIOS - TRANSITORIO,2026,0,Sin mes,16491543.0,0.0,0.0,0.0,0.0,2026-09-05 08:35:06
